inventory_id,sku_id,location_id,opening_stock_units,allocated_units,available_stock_units,safety_stock_threshold
INV_00481,SKU_0030,DC_05,1471,555,916,365
INV_00482,SKU_0035,DC_04,1666,1509,157,416
INV_00483,SKU_0007,PLANT_01,3018,613,2405,407
INV_00484,SKU_0010,PLANT_02,1566,260,1306,517
INV_00485,SKU_0013,DC_05,1415,259,1156,309
INV_00486,SKU_0019,PLANT_02,4467,3632,835,321
INV_00487,SKU_0038,DC_02,2108,320,1788,316
INV_00488,SKU_0027,DC_02,4706,585,4121,540
INV_00489,SKU_0015,PLANT_01,1474,618,856,322
INV_00490,SKU_0005,DC_03,1042,408,634,641
INV_00491,SKU_0045,DC_03,584,486,98,349
INV_00492,SKU_0039,DC_03,1514,1332,182,405
INV_00493,SKU_0007,PLANT_05,2138,478,1660,643
INV_00494,SKU_0035,DC_02,3379,219,3160,346
INV_00495,SKU_0023,PLANT_01,1692,1628,64,782
INV_00496,SKU_0018,DC_04,2772,2474,298,478
INV_00497,SKU_0028,DC_04,3385,757,2628,737
INV_00498,SKU_0011,DC_01,4601,2081,2520,558
INV_00499,SKU_0046,DC_01,1059,201,858,719
INV_00500,SKU_0015,PLANT_05,614,322,292,666
